Altium Designer Pick and Place Locations
E:\QRBOTS\PCB Projects\Nvidia_carrier_board_buck_converter\Altium_project_DPRS10A16V\Project Outputs for Altium_project_DPRS10A16V\Pick Place\Pick Place for DPRS10A16V.csv

========================================================================================================================
File Design Information:

Date:       03/10/25
Time:       13:38
Revision:   724c316bfb4b06a0b31c78f34debb7b8a18df0b6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","LM74610QDGKRQ1","BottomLayer","SOP65P490X110-8N","11.7250","28.5400","90","0.48-V to 42-V, zero IQ automotive ideal diode controller"
"U1","LM74610QDGKRQ1","BottomLayer","SOP65P490X110-8N","30.6480","27.4664","90","0.48-V to 42-V, zero IQ automotive ideal diode controller"
"R9","ERJ-PA2F1501X","TopLayer","RES_0402","7.1120","42.7736","270","Res Thick Film 0402 1.5K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200"
"R8","ERJ-PA2F1501X","TopLayer","RES_0402","24.5110","39.7510","270","Res Thick Film 0402 1.5K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200"
"R7","ERJ-PA2F1501X","TopLayer","RES_0402","41.7830","42.6466","270","Res Thick Film 0402 1.5K Ohm 1% 0.2W(1/5W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200"
"R6B","RK73H1ETTP6651F","TopLayer","RES_0402","41.3766","10.5410","0","Res Thick Film 0402 6.65K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R6A","RK73H1ETTP6651F","TopLayer","RES_0402","8.0224","10.1600","0","Res Thick Film 0402 6.65K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R5B","RC0402JR-07100KL","TopLayer","RES_0402","39.7764","10.5410","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 100kO 0402 Chip Resistor - Surface Mount ROHS"
"R5A","RC0402JR-07100KL","TopLayer","RES_0402","6.3714","10.1600","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 100kO 0402 Chip Resistor - Surface Mount ROHS"
"R4B","RK73H1ETTP4991F","TopLayer","RES_0402","39.8018","9.3980","0","Res Thick Film 0402 4.99K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R4A","RK73H1ETTP4991F","TopLayer","RES_0402","6.3714","9.0170","0","Res Thick Film 0402 4.99K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R3B","ERJ-2GE0R00X","TopLayer","RES_0402","38.2932","14.1658","90","Zero Ohm Resistor, Thick Film, 100 mW, 1 A, Surface Mount, 0402 [1005 Metric]"
"R3A","ERJ-2GE0R00X","TopLayer","RES_0402","5.7270","13.9776","90","Zero Ohm Resistor, Thick Film, 100 mW, 1 A, Surface Mount, 0402 [1005 Metric]"
"R2B","RC0402FR-1311K8L","TopLayer","RES_0402","43.8692","13.7518","90","Res Thick Film 0402 11.8K Ohm 1% 0.063W(1/16W) 100ppm/C Pad SMD T/R"
"R2A","RC0402FR-1311K8L","TopLayer","RES_0402","11.3030","13.5636","90","Res Thick Film 0402 11.8K Ohm 1% 0.063W(1/16W) 100ppm/C Pad SMD T/R"
"R1B","RC0402JR-07100KL","TopLayer","RES_0402","42.4180","11.6840","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 100kO 0402 Chip Resistor - Surface Mount ROHS"
"R1A","RC0402JR-07100KL","TopLayer","RES_0402","9.9060","11.4300","180","62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 100kO 0402 Chip Resistor - Surface Mount ROHS"
"Q2","BSZ034N04LSATMA1","BottomLayer","INF-PG-TSDSON-8-FL","15.4080","32.1400","90","N-Channel 40 V 19A (Ta), 40A (Tc) 2.1W (Ta), 52W (Tc) Surface Mount PG-TSDSON-8-FL"
"Q1","BSZ034N04LSATMA1","BottomLayer","INF-PG-TSDSON-8-FL","33.9120","32.1357","90","N-Channel 40 V 19A (Ta), 40A (Tc) 2.1W (Ta), 52W (Tc) Surface Mount PG-TSDSON-8-FL"
"PS1B","LM61495QRPHRQ1","TopLayer","CONV_LM61495QRPHRQ1","41.0912","15.1217","0","10-A automotive buck converter optimized for power density and low EMI"
"PS1A","LM61495QRPHRQ1","TopLayer","CONV_LM61495QRPHRQ1","8.5250","14.9335","0","10-A automotive buck converter optimized for power density and low EMI"
"L1B","3.5uH, 11A","TopLayer","WE-PD_1210","41.0570","26.7312","0","WE-PD SMT Power Inductor, size 1210, 3.5uH, 11A, 9mOhm"
"L1A","3.5uH, 11A","TopLayer","WE-PD_1210","8.4908","26.5430","0","WE-PD SMT Power Inductor, size 1210, 3.5uH, 11A, 9mOhm"
"D3","LTST-C190GKT","TopLayer","LEDM1608X80","8.2550","42.4300","270","Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric)"
"D2","LTST-C190GKT","TopLayer","LEDM1608X80","24.5110","42.2910","90","Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric)"
"D1","LTST-C190GKT","TopLayer","LEDM1608X80","40.6400","42.3030","270","Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric)"
"C24","GRM188Z71E225KE43D","BottomLayer","CAP_0603","9.1440","29.7629","90","25V 2.2uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C23","CC0402KRX7R9BB101","BottomLayer","CAP_0402","9.6520","27.0256","90","50V 100pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C21","CC0603KRX7R9BB105","BottomLayer","CAP_0603","24.2570","31.2420","270","50V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C20","CC0603KRX7R9BB105","BottomLayer","CAP_0603","23.1140","31.2420","270","50V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C19","CGA4J1X7R1H475K125AC","BottomLayer","CAP_0805","25.9080","30.9880","270","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 4.7uF, Surface Mount, 0805"
"C18","GRM188Z71E225KE43D","BottomLayer","CAP_0603","27.9146","29.2989","90","25V 2.2uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C17","CGA4J1X7R1H475K125AC","BottomLayer","CAP_0805","21.4630","30.9880","270","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 4.7uF, Surface Mount, 0805"
"C16","CC0402KRX7R9BB101","BottomLayer","CAP_0402","28.4480","26.2636","90","50V 100pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C15B","C0402C100K5RACTU","TopLayer","CAP_0402","41.3766","9.3980","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 10pF X7R 0402 10%"
"C15A","C0402C100K5RACTU","TopLayer","CAP_0402","7.9716","9.0170","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 10pF X7R 0402 10%"
"C14B","CGA2B3X7R1H104K050BB","TopLayer","CAP_0402","37.4932","14.1658","90","CGA Series 0402 100 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C14A","CGA2B3X7R1H104K050BB","TopLayer","CAP_0402","4.9270","13.9776","90","CGA Series 0402 100 nF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"
"C13B","CGA4J1X7R1V225K125AE","TopLayer","CAP_0805","26.1620","32.4231","270","Cap Ceramic 2.2uF 35V X7R 10% Pad SMD 0805 Soft Termination 125C Automotive T/R"
"C13A","CGA4J1X7R1V225K125AE","TopLayer","CAP_0805","22.6060","32.4231","270","Cap Ceramic 2.2uF 35V X7R 10% Pad SMD 0805 Soft Termination 125C Automotive T/R"
"C12B","CGA4J1X7R1V225K125AE","TopLayer","CAP_0805","32.2580","32.4231","270","Cap Ceramic 2.2uF 35V X7R 10% Pad SMD 0805 Soft Termination 125C Automotive T/R"
"C12A","CGA4J1X7R1V225K125AE","TopLayer","CAP_0805","16.5100","32.4231","270","Cap Ceramic 2.2uF 35V X7R 10% Pad SMD 0805 Soft Termination 125C Automotive T/R"
"C11B","C3216X5R1V226M160AC","TopLayer","CAP_1206","40.2590","37.7190","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; TDK; C3216X5R1V226M160AC; 22 µF; 1206; 35 V; 35 V"
